Step,VehicleID,Speed,Position,Route,Follower,Lane,Acceleration
23,1,9.874883740558289,"(17.874706466463174, 126.88873229961075)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 43.491312037669545)",e2_0,2.9457542021991685
23,2,8.916268856846727,"(-3.350605128999355, 124.25343771002645)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('ev_0', 38.97073934591738)",e2_1,1.1748713359003888
23,3,7.045260916464031,"(-31.154003397268976, 112.88156789525021)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('4', 18.206738071282384)",e2_0,-1.911417561233975
23,4,7.273410563175148,"(-49.94028293115915, 99.07374488078509)","('e1', 'e2')","('', -1.0)",e1_0,1.2145232348702857
23,ev_0,10.508094203784893,"(-45.92027571689702, 107.87160284812785)","('e1', 'e2')","('', -1.0)",e1_1,-2.1999999999999993
24,0,6.755940976785496,"(65.01383487267218, 115.82054835997312)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 37.554871227871615)",e3_0,-2.0985073836054653
24,1,7.674883740558289,"(25.254191973243742, 128.9970004347577)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 43.28414191869595)",e2_0,-2.2
24,2,9.109689984587021,"(5.407163831236559, 126.75584292746039)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_1,0.19342112774029374
24,3,7.882053859531879,"(-23.575321532330626, 115.04674505666404)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('4', 17.490244337961993)",e2_0,0.8367929430678487
24,4,8.598547592852263,"(-43.91638488384137, 105.20822440532973)","('e1', 'e2')","('', -1.0)",e1_0,1.3251370296771157
24,ev_0,12.30767063372634,"(-37.103498892794036, 118.03894256984225)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_2,1.7995764299414478
25,0,6.7540219044312835,"(71.25327784157744, 113.2351706353895)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 37.76543604272882)",e3_0,-0.0019190723542124033
