Step,VehicleID,Speed,Position,Route,Follower,Lane,Acceleration
37,car2.0,5.75044521826069,"(76.22895726084175, 36.0331103520423)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_0,0.3383259454276413
38,car1.0,10.871570109667754,"(19.658796488945374, 6.731798218545593)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 54.37821312528072)",E4_0,1.865322245284915
38,car2.0,8.44273486613977,"(69.7735917093198, 30.591503895350655)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_0,2.692289647879079
39,car1.0,12.350288158327839,"(7.313260269116313, 6.4229222161249275)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 57.89608426399612)",E4_0,1.4787180486600846
39,car2.0,8.832417019612446,"(63.02027285363107, 24.898735113178567)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_0,0.3896821534726769
40,car1.0,13.092489978162758,"(-5.774192198473855, 6.095484028906544)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 61.88032439917137)",E4_0,0.7422018198349196
40,car2.0,9.108249842987501,"(56.05605057218921, 19.02818345656553)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_0,0.27583282337505466
41,car1.0,10.892489978162757,"(-16.66249114547918, 5.823067003673539)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 64.58452745347756)",E4_0,-2.200000000000001
41,car2.0,8.18828692385658,"(49.79523743849316, 13.750576650173596)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_0,-0.9199629191309207
42,car1.0,8.692489978162758,"(-25.351636571899682, 5.605671140425913)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 67.28873050778374)",E4_0,-2.1999999999999993
42,car2.0,5.98828692385658,"(45.21655745697103, 9.890938593781662)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E3_0,-2.2
43,car1.0,6.492489978162758,"(-31.84162847773532, 5.4432964391636665)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E4_0,-2.2
43,car2.0,3.78828692385658,"(44.437100278090604, 5.057710745861003)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",:J4_0_1,-2.2
44,car1.0,4.292489978162758,"(-36.132466862986114, 5.335942899886798)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E4_0,-2.2
44,car2.0,3.22058056342122,"(42.274933865457825, 4.112213085848341)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",:J4_0_1,-0.56770636043536
45,car1.0,2.650176206747256,"(-38.33934590299403, 6.5819145823193175)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E5_0,-1.6423137714155018
45,car2.0,6.29303936078851,"(36.19152921030343, 3.9434331788567065)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E4_1,3.0724587973672897
46,car1.0,6.10023712811917,"(-42.69870732225491, 10.847386075709185)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E5_0,3.4500609213719144
46,car2.0,6.581660972216024,"(29.612400620146744, 3.7788283449998223)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E4_1,0.28862161142751486
47,car1.0,9.411429712692462,"(-49.4243185940657, 17.428144218124118)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E5_0,3.3111925845732912
47,car2.0,7.2167536061088065,"(22.398423756479687, 3.5983400862860586)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E4_1,0.635092633892782
48,car1.0,10.891716178216786,"(-57.20777459743866, 25.043963717685276)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E5_0,1.4802864655243244
48,car2.0,8.092982168432183,"(14.308555471144249, 3.3959376849978353)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E4_1,0.8762285623233765
49,car1.0,8.864468145080656,"(-63.54251530051789, 31.24226968231948)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E5_0,-2.0272480331361304
49,car2.0,9.830483175587698,"(4.4818547053971045, 3.1500810453621293)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E4_1,1.7375010071555153
50,car1.0,6.664468145080655,"(-68.30508841060866, 35.90226867816361)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E5_0,-2.2
50,car2.0,11.739276525143802,"(-7.252904976143341, 2.8564862111434497)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E4_1,1.9087933495561042
51,car1.0,4.464468145080655,"(-73.5898049468596, 36.625824328237385)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 63.37833430442828)",:J6_0_1,-2.2
